ISO3,Country,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),Inequality in Education (2010),Inequality in Education (2011),Inequality in Education (2012),Inequality in Education (2013),Inequality in Education (2014),Inequality in Education (2015),Inequality in Education (2016),Inequality in Education (2017),Inequality in Education (2018),Inequality in Education (2019),Inequality in Education (2020),Inequality in Education (2021)
MEX,Mexico,High,LAC,86,17.45,17.45,16.46,16.46,15.40,15.40,14.11,14.11,13.49,13.49,13.49,13.49
MHL,Marshall Islands,Medium,EAP,131,,4.779338113,4.779338113,4.779338113,4.779338113,4.779338113,4.779338113,4.779338113,4.779338113,4.779338113,4.779338113,4.779338113
MKD,North Macedonia,High,ECA,78,17.47,10.54,10.54,10.54,10.54,10.54,10.54,10.54,8.37,8.37,8.37,8.37
MLI,Mali,Low,SSA,186,,,,41.61872,41.61872,46.17695,46.17695,46.17695,43.85965,43.85965,43.85965,43.85965
MLT,Malta,Very High,,23,5.5195,5.73251,7.31224,5.98891,6.6693,6.86637,6.86637,6.69493,6.18818,6.18818,5.19238,5.19238
MMR,Myanmar,Medium,EAP,149,19.44,19.44,19.44,19.44,19.44,19.44,26.85,26.85,26.85,26.85,26.85,26.85
MNE,Montenegro,Very High,ECA,49,,6.03860614,6.03860614,7.36696,7.36696,7.36696,7.36696,7.36696,7.81501,7.81501,7.81501,7.81501
MNG,Mongolia,High,EAP,96,11.45,11.45,11.45,11.45,11.92,11.92,11.92,11.92,11.88,11.88,11.88,11.88
MOZ,Mozambique,Low,SSA,185,30.92,30.92,30.92,30.92,30.92,36.58,36.58,40.53,40.53,40.53,40.53,40.53
MRT,Mauritania,Medium,SSA,158,42.06,40.79,40.79,40.79,40.79,40.79,40.79,40.79,40.79,40.79,43.99,43.99
MUS,Mauritius,Very High,SSA,63,,21.91298205,21.91298205,21.91298205,21.91298205,21.91298205,21.91298205,21.91298205,21.91298205,21.91298205,21.91298205,21.91298205
MWI,Malawi,Low,SSA,169,30.20,30.20,30.20,30.20,28.21,28.21,28.42,28.42,28.42,28.42,28.01,28.01
MYS,Malaysia,Very High,EAP,62,15.56,15.56,15.56,15.56,15.56,15.56,12.06,12.06,12.06,12.06,12.06,12.06
NAM,Namibia,Medium,SSA,139,27.77,27.77,27.77,25.02,25.02,25.02,25.02,25.02,25.02,25.02,25.02,25.02
